Tosca,"October 27, 2014 at 05:41PM",Oscar (feat. Anna Clementi),0.496116,"chill-out,downtempo,trip hop,nu jazz,acid jazz,electronic,big beat,ninja,deep house,lounge"
General Midi,"October 27, 2014 at 05:47PM",The Eastoner,0.350945,"nu skool breaks,breakbeat,big beat"
Bonobo,"October 27, 2014 at 05:53PM",Days To Come,0.427231,"downtempo,trip hop,ninja,chill-out,nu jazz,acid jazz,electronic,turntablism,big beat"
Morcheeba,"October 27, 2014 at 05:57PM",Everybody Loves a Loser,0.824333,"chill-out,trip hop,downtempo,electronic,bmore,nu jazz,lounge,big beat"
Mo' Horizons,"October 27, 2014 at 06:01PM",Foto Viva,0.613927,"acid jazz,nu jazz,lounge,chill-out,electro swing,downtempo,electro jazz,trip hop"
Kasabian,"October 27, 2014 at 06:11PM",Shoot the Runner,0.793785,"garage rock,madchester,neo-psychedelic,indie rock,rock"
Yeah Yeah Yeahs,"October 27, 2014 at 06:14PM",Gold Lion,0.852862,"indie rock,dance-punk,garage rock,indie pop,indietronica,synthpop"
The Killers,"October 27, 2014 at 06:17PM",Mr. Brightside,0.643618,"permanent wave,indie christmas,indie rock,vegas indie,rock,pop rock,pop christmas"
Radiohead,"October 27, 2014 at 06:21PM",Bodysnatchers,0.978636,"permanent wave,alternative rock,rock"
Bloc Party,"October 27, 2014 at 06:26PM",Banquet,0.898395,"dance-punk,indie rock,indietronica"
The White Stripes,"October 27, 2014 at 06:29PM",The Denial Twist,0.759273,"garage rock,punk blues,permanent wave,alternative rock,indie rock,blues-rock"
Muse,"October 27, 2014 at 06:32PM",Supermassive Black Hole,0.864658,"permanent wave,piano rock,rock"
The Bravery,"October 27, 2014 at 06:35PM",This Is Not The End,0.963969,"dance-punk,indie rock,new rave,garage rock,indietronica,alternative dance"
Kasabian,"October 27, 2014 at 06:39PM",By My Side,0.889505,"garage rock,madchester,neo-psychedelic,indie rock,rock"
